"CH1_x","CH1_y"
1001,-0.0252016129,
1002.75,-0.1260080645,
1004.5,-0.3276209677,
1006.25,-0.2268145161,
1008,-0.0252016129,
1009.75,-0.1764112903,
1011.5,-0.1764112903,
1013.25,-0.4788306452,
1015,-0.0252016129,
1016.75,-0.3276209677,
1018.5,-0.1260080645,
1020.25,-0.4284274194,
1022,-0.1260080645,
1023.75,-0.5796370968,
1025.5,-0.2772177419,
1027.25,-0.2268145161,
1029,0.07560483871,
1030.75,-0.3276209677,
1032.5,0.1764112903,
1034.25,-0.1260080645,
1036,-0.07560483871,
1037.75,-0.2268145161,
1039.5,-0.0252016129,
1041.25,-0.3780241935,
1043,0.0252016129,
1044.75,-0.1260080645,
1046.5,-0.0252016129,
1048.25,0.07560483871,
1050,-0.0252016129,
1051.75,-0.1764112903,
1053.5,-0.0252016129,
1055.25,-0.07560483871,
1057,-0.3780241935,
1058.75,-0.2268145161,
1060.5,-0.3276209677,
1062.25,-0.3780241935,
1064,-0.1764112903,
1065.75,-0.2268145161,
1067.5,-0.2268145161,
1069.25,-0.2772177419,
1071,-0.07560483871,
1072.75,-0.07560483871,
1074.5,-0.2772177419,
1076.25,-0.3276209677,
1078,-0.4284274194,
1079.75,-0.1260080645,
1081.5,-0.4284274194,
1083.25,-0.07560483871,
1085,-0.4284274194,
1086.75,-0.1260080645,
1088.5,-0.07560483871,
1090.25,-0.2772177419,
1092,0.1260080645,
1093.75,-0.3276209677,
1095.5,-0.2268145161,
1097.25,-0.3276209677,
1099,-0.2268145161,
1100.75,-0.4284274194,
1102.5,-0.5796370968,
1104.25,-0.2772177419,
1106,-0.1764112903,
1107.75,-0.1764112903,
1109.5,-0.1260080645,
1111.25,-0.1764112903,
1113,-0.4284274194,
1114.75,-0.529233871,
1116.5,-0.2772177419,
1118.25,-0.3780241935,
1120,-0.3276209677,
1121.75,-0.4788306452,
1123.5,-0.2772177419,
1125.25,-0.2772177419,
1127,0.0252016129,
1128.75,-0.3276209677,
1130.5,-0.4284274194,
1132.25,0.07560483871,
1134,-0.1764112903,
1135.75,-0.3276209677,
1137.5,-0.0252016129,
1139.25,-0.3780241935,
1141,-0.1260080645,
1142.75,-0.1260080645,
1144.5,-0.07560483871,
1146.25,-0.0252016129,
1148,-0.2772177419,
1149.75,-0.0252016129,
1151.5,-0.1764112903,
1153.25,-0.1260080645,
1155,-0.2772177419,
1156.75,-0.3276209677,
1158.5,-0.3780241935,
1160.25,-0.3780241935,
1162,-0.4284274194,
1163.75,-0.3780241935,
1165.5,-0.1764112903,
1167.25,-0.5796370968,
1169,-0.4284274194,
1170.75,-0.1764112903,
1172.5,-0.3780241935,
1174.25,-0.3780241935,
1176,-0.4788306452,
1177.75,-0.2268145161,
1179.5,-0.4788306452,
1181.25,-0.1260080645,
1183,-0.3276209677,
1184.75,-0.4788306452,
1186.5,-0.4284274194,
1188.25,-0.4284274194,
1190,-0.2772177419,
1191.75,-0.4284274194,
1193.5,-0.3276209677,
1195.25,-0.2268145161,
1197,-0.3276209677,
1198.75,-0.2268145161,
1200.5,-0.1764112903,
